,_time,seq_nr,test_number_x,time_latency,ue_id,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number_y,transfer,ue_nr_x,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,collectStartTime,test_number,ue_nr_y
141,2024-04-19 10:25:54+00:00,101,2,1168.0,3,10M,2.88,4.68,0.72,10.0,2,0.35,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:25:54,2,1
161,2024-04-19 10:26:08+00:00,115,2,1234.33,3,10M,2.52,8.81,0.74,10.0,2,0.31,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:26:08,2,1
193,2024-04-19 10:26:30+00:00,136,2,1037.0,3,10M,3.02,5.64,0.73,10.0,2,0.37,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:26:30,2,1
212,2024-04-19 10:26:45+00:00,156,2,1399.0,1,10M,1.73,11.6,0.83,10.0,2,0.21,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:26:44,2,1
256,2024-04-19 10:27:17+00:00,182,2,1374.0,3,10M,2.43,7.18,0.74,10.0,2,0.3,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:27:17,2,1
262,2024-04-19 10:27:21+00:00,186,2,1395.0,3,10M,2.3,6.35,0.75,10.0,2,0.28,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:27:21,2,1
269,2024-04-19 10:27:26+00:00,194,2,1637.0,2,10M,2.29,6.62,0.75,10.0,2,0.28,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:27:26,2,1
275,2024-04-19 10:27:30+00:00,200,2,1196.33,1,10M,2.66,5.21,0.73,10.0,2,0.32,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:27:30,2,1
294,2024-04-19 10:27:43+00:00,208,2,1023.0,3,10M,3.09,7.15,0.7,10.0,2,0.38,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:27:43,2,1
312,2024-04-19 10:27:55+00:00,220,2,1020.5,3,10M,2.71,5.06,0.72,10.0,2,0.33,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:27:55,2,1
318,2024-04-19 10:27:59+00:00,226,2,1054.5,2,10M,2.84,4.76,0.74,10.0,2,0.35,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:27:59,2,1
331,2024-04-19 10:28:08+00:00,232,2,1293.0,3,10M,2.4,6.95,0.75,10.0,2,0.29,2,100,0,0,11488,0,11526,51,5,1,90,2024-04-19 10:28:08,2,1
337,2024-04-19 10:28:12+00:00,239,2,1062.0,2,10M,3.02,4.34,0.72,10.0,2,0.37,2,100,0,0,11465,0,11492,51,5,1,90,2024-04-19 10:28:12,2,1
343,2024-04-19 10:28:16+00:00,245,2,1101.5,1,10M,2.98,4.68,0.71,10.0,2,0.36,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:28:16,2,1
349,2024-04-19 10:28:20+00:00,244,2,1019.0,3,10M,2.98,6.52,0.7,10.0,2,0.36,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:28:19,2,1
361,2024-04-19 10:28:28+00:00,257,2,1309.0,1,10M,2.76,8.46,0.73,10.0,2,0.34,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:28:28,2,1
367,2024-04-19 10:28:32+00:00,256,2,946.0,3,10M,2.95,6.83,0.71,10.0,2,0.36,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:28:32,2,1
373,2024-04-19 10:28:36+00:00,265,2,1148.5,1,10M,3.11,5.96,0.73,10.0,2,0.38,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:28:36,2,1
384,2024-04-19 10:28:43+00:00,269,2,1150.33,2,10M,2.77,5.37,0.7,10.0,2,0.34,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:28:43,2,1
390,2024-04-19 10:28:47+00:00,273,2,867.0,2,10M,2.98,5.79,0.69,10.0,2,0.36,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:28:47,2,1
396,2024-04-19 10:28:51+00:00,280,2,1089.0,1,10M,3.1,5.07,0.7,10.0,2,0.38,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:28:51,2,1
402,2024-04-19 10:28:55+00:00,279,2,1177.0,3,10M,2.95,7.41,0.72,10.0,2,0.36,2,100,0,1,11490,1,11526,51,5,1,90,2024-04-19 10:28:55,2,1
414,2024-04-19 10:29:03+00:00,286,2,1206.0,3,10M,2.55,8.09,0.73,10.0,2,0.31,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:29:03,2,1
438,2024-04-19 10:29:19+00:00,304,2,1092.75,2,10M,2.51,6.24,0.72,10.0,2,0.31,2,100,0,0,11453,0,11492,51,5,1,90,2024-04-19 10:29:19,2,1
444,2024-04-19 10:29:23+00:00,306,2,998.0,3,10M,2.94,5.71,0.72,10.0,2,0.36,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:29:23,2,1
450,2024-04-19 10:29:27+00:00,310,2,939.5,3,10M,2.78,7.61,0.7,10.0,2,0.34,2,100,0,0,11489,0,11526,51,5,1,90,2024-04-19 10:29:27,2,1
456,2024-04-19 10:29:31+00:00,317,2,1280.0,2,10M,2.62,4.82,0.76,10.0,2,0.32,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:29:31,2,1
468,2024-04-19 10:29:39+00:00,324,2,1115.5,2,10M,2.73,5.35,0.7,10.0,2,0.33,2,100,0,1,11466,1,11491,51,5,1,90,2024-04-19 10:29:39,2,1
481,2024-04-19 10:29:48+00:00,334,2,1308.0,2,10M,2.16,9.08,0.76,10.0,2,0.26,2,100,0,0,11454,0,11491,51,5,1,90,2024-04-19 10:29:48,2,1
500,2024-04-19 10:30:01+00:00,349,2,947.5,1,10M,2.89,6.61,0.69,10.0,2,0.35,2,100,0,1,11454,1,11491,51,5,1,90,2024-04-19 10:30:01,2,1
