,_time,seq_nr,test_number,time_latency,ue_id
330,2024-04-19 10:15:10+00:00,699,1,1122.0,1
331,2024-04-19 10:15:14+00:00,701,1,1618.0,3
332,2024-04-19 10:15:16+00:00,703,1,1207.0,3
333,2024-04-19 10:15:17+00:00,704,1,1154.0,3
334,2024-04-19 10:15:18+00:00,705,1,1253.0,3
335,2024-04-19 10:15:19+00:00,706,1,1225.0,3
336,2024-04-19 10:15:21+00:00,710,1,1351.0,1
337,2024-04-19 10:15:23+00:00,710,1,1742.0,2
338,2024-04-19 10:15:27+00:00,714,1,1294.0,3
339,2024-04-19 10:15:29+00:00,718,1,1290.0,1
340,2024-04-19 10:15:31+00:00,718,1,913.0,3
341,2024-04-19 10:15:33+00:00,722,1,1410.0,1
342,2024-04-19 10:15:36+00:00,725,1,1197.0,1
343,2024-04-19 10:15:38+00:00,725,1,1295.0,2
344,2024-04-19 10:15:40+00:00,727,1,1060.0,3
345,2024-04-19 10:15:43+00:00,730,1,1005.0,3
346,2024-04-19 10:15:49+00:00,735,1,1546.0,3
347,2024-04-19 10:15:50+00:00,736,1,1306.0,3
348,2024-04-19 10:15:54+00:00,741,1,923.0,2
349,2024-04-19 10:15:57+00:00,745,1,1478.0,1
350,2024-04-19 10:16:02+00:00,750,1,1146.0,1
351,2024-04-19 10:16:11+00:00,757,1,1280.0,3
352,2024-04-19 10:16:12+00:00,760,1,1222.0,1
353,2024-04-19 10:16:13+00:00,759,1,1307.0,3
354,2024-04-19 10:16:14+00:00,760,1,1369.0,2
355,2024-04-19 10:16:15+00:00,761,1,1156.0,3
356,2024-04-19 10:16:16+00:00,764,1,1461.0,1
357,2024-04-19 10:16:19+00:00,765,1,1439.0,3
358,2024-04-19 10:16:21+00:00,767,1,1127.0,2
359,2024-04-19 10:16:22+00:00,768,1,1052.0,3
360,2024-04-19 10:16:25+00:00,771,1,1326.0,3
361,2024-04-19 10:16:26+00:00,774,1,1157.0,1
362,2024-04-19 10:16:28+00:00,775,1,1514.0,1
363,2024-04-19 10:16:29+00:00,774,1,2047.0,2
364,2024-04-19 10:16:30+00:00,775,1,1721.0,3
365,2024-04-19 10:16:31+00:00,777,1,1248.0,2
366,2024-04-19 10:16:33+00:00,779,1,1102.0,2
367,2024-04-19 10:16:34+00:00,782,1,1130.0,1
368,2024-04-19 10:16:35+00:00,781,1,783.0,3
369,2024-04-19 10:16:36+00:00,782,1,1427.0,3
370,2024-04-19 10:16:38+00:00,785,1,1358.0,1
371,2024-04-19 10:16:39+00:00,784,1,1874.0,3
372,2024-04-19 10:16:40+00:00,786,1,1339.0,3
373,2024-04-19 10:16:41+00:00,788,1,1644.0,1
374,2024-04-19 10:16:44+00:00,791,1,1423.0,1
375,2024-04-19 10:16:46+00:00,791,1,1555.0,2
376,2024-04-19 10:16:47+00:00,792,1,1421.0,2
377,2024-04-19 10:16:48+00:00,795,1,1163.0,1
378,2024-04-19 10:16:49+00:00,796,1,1686.0,1
379,2024-04-19 10:16:53+00:00,798,1,1396.0,2
380,2024-04-19 10:16:55+00:00,803,1,927.0,1
381,2024-04-19 10:16:58+00:00,803,1,1280.0,2
382,2024-04-19 10:17:01+00:00,808,1,1640.0,1
383,2024-04-19 10:17:03+00:00,809,1,1955.0,1
384,2024-04-19 10:17:05+00:00,812,1,1300.0,1
385,2024-04-19 10:17:06+00:00,813,1,1375.0,1
