,_time,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl
284,2024-03-28 11:51:51+00:00,100,0,2,2,2,3
285,2024-03-28 11:51:55+00:00,100,0,2,2,3,2
286,2024-03-28 11:52:01+00:00,100,0,3,3,3,3
287,2024-03-28 11:52:06+00:00,100,0,4,4,4,4
288,2024-03-28 11:52:10+00:00,100,0,2,2,2,2
289,2024-03-28 11:52:15+00:00,100,0,3,3,3,3
290,2024-03-28 11:52:19+00:00,100,0,2,2,2,2
291,2024-03-28 11:52:23+00:00,100,0,2,2,3,2
292,2024-03-28 11:52:26+00:00,100,0,2,2,2,2
293,2024-03-28 11:52:30+00:00,100,0,2,2,2,2
294,2024-03-28 11:52:36+00:00,100,0,4,4,4,4
295,2024-03-28 11:52:42+00:00,100,0,3,3,3,3
296,2024-03-28 11:52:47+00:00,100,0,4,4,4,4
297,2024-03-28 11:52:52+00:00,100,0,2,2,2,2
298,2024-03-28 11:52:58+00:00,100,0,3,3,3,3
299,2024-03-28 11:53:02+00:00,100,0,4,4,5,5
300,2024-03-28 11:53:07+00:00,100,0,2,2,3,3
301,2024-03-28 11:53:11+00:00,100,0,2,2,2,2
302,2024-03-28 11:53:16+00:00,100,0,3,3,3,3
303,2024-03-28 11:53:21+00:00,100,0,3,3,3,3
304,2024-03-28 11:53:24+00:00,100,0,2,2,3,2
305,2024-03-28 11:53:29+00:00,100,0,2,2,2,2
306,2024-03-28 11:53:33+00:00,100,0,2,2,2,2
307,2024-03-28 11:53:37+00:00,100,0,2,2,2,2
308,2024-03-28 11:53:41+00:00,100,0,3,3,3,3
309,2024-03-28 11:53:43+00:00,100,0,2,2,2,2
310,2024-03-28 11:53:45+00:00,100,0,0,0,0,0
311,2024-03-28 11:53:46+00:00,100,0,1,1,1,1
312,2024-03-28 11:53:48+00:00,100,0,1,1,1,1
313,2024-03-28 11:53:50+00:00,100,0,1,1,1,1
314,2024-03-28 11:53:54+00:00,100,0,1,1,1,1
315,2024-03-28 11:53:57+00:00,100,0,2,2,2,2
316,2024-03-28 11:54:01+00:00,100,0,2,2,2,2
317,2024-03-28 11:54:04+00:00,100,0,2,2,2,2
318,2024-03-28 11:54:11+00:00,100,0,3,3,3,3
319,2024-03-28 11:54:15+00:00,100,0,3,3,3,3
320,2024-03-28 11:54:20+00:00,100,0,3,3,3,3
321,2024-03-28 11:54:25+00:00,100,0,3,3,3,3
322,2024-03-28 11:54:27+00:00,100,0,2,2,3,2
323,2024-03-28 11:54:30+00:00,100,0,1,1,1,1
324,2024-03-28 11:54:34+00:00,100,0,2,2,2,2
325,2024-03-28 11:54:37+00:00,100,0,2,2,2,2
326,2024-03-28 11:54:40+00:00,100,0,1,1,1,1
327,2024-03-28 11:54:45+00:00,100,0,3,3,3,3
328,2024-03-28 11:54:50+00:00,100,0,2,2,3,3
329,2024-03-28 11:54:56+00:00,100,0,4,4,5,5
330,2024-03-28 12:01:39+00:00,100,0,2,28931,2,29019
331,2024-03-28 12:01:43+00:00,100,0,2,31309,2,31410
332,2024-03-28 12:01:47+00:00,100,0,2,34539,2,34654
333,2024-03-28 12:01:51+00:00,100,0,2,34385,2,34485
334,2024-03-28 12:01:55+00:00,100,0,2,34338,2,34450
335,2024-03-28 12:01:59+00:00,100,0,2,34031,2,34138
336,2024-03-28 12:02:03+00:00,100,0,2,34646,2,34758
337,2024-03-28 12:02:07+00:00,100,0,2,34374,2,34485
338,2024-03-28 12:02:11+00:00,100,0,2,34374,2,34485
339,2024-03-28 12:02:15+00:00,100,0,2,34374,2,34485
340,2024-03-28 12:02:19+00:00,100,0,2,34268,2,34376
341,2024-03-28 12:02:23+00:00,100,0,2,34339,2,34450
342,2024-03-28 12:02:27+00:00,100,0,2,34410,2,34520
343,2024-03-28 12:02:31+00:00,100,0,2,34351,2,34450
344,2024-03-28 12:02:35+00:00,100,0,2,34327,2,34446
345,2024-03-28 12:02:39+00:00,100,0,1,34385,1,34485
346,2024-03-28 12:02:43+00:00,100,0,2,34374,2,34485
347,2024-03-28 12:02:47+00:00,100,0,2,34339,2,34450
348,2024-03-28 12:02:51+00:00,100,0,2,34339,2,34446
349,2024-03-28 12:02:55+00:00,100,0,2,34410,2,34520
350,2024-03-28 12:02:59+00:00,100,0,2,34374,2,34485
351,2024-03-28 12:03:03+00:00,100,0,0,34301,0,34416
352,2024-03-28 12:03:07+00:00,100,0,1,34302,1,34411
353,2024-03-28 12:03:11+00:00,100,0,2,34409,2,34520
354,2024-03-28 12:03:15+00:00,100,0,2,34385,2,34485
355,2024-03-28 12:03:19+00:00,100,0,1,34302,1,34416
356,2024-03-28 12:03:23+00:00,100,0,2,34339,2,34446
