,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,time_latency
2939,10000000.0,7.863333333333333,1.5250000000000001,0.17666666666666667,10.15999984741211,0.9420000000000001,1,100.0,0.0,2.0,34374.0,3.0,34485.0,459.6666666666667
2943,10000000.0,8.386666666666667,2.27,0.12866666666666668,2.0799999237060547,1.0156666666666665,1,100.0,0.0,2.0,34268.0,2.0,34376.0,384.0
2947,10000000.0,8.399999999999999,1.6426666666666667,0.15633333333333332,2.0799999237060547,1.01,1,100.0,0.0,2.0,34303.0,2.0,34416.0,387.6666666666667
2951,10000000.0,8.35,1.6153333333333333,0.11266666666666668,2.0799999237060547,1.0096666666666667,1,100.0,0.0,2.0,34445.0,2.0,34554.0,307.0
2955,10000000.0,8.513333333333334,1.781,0.13866666666666666,2.0799999237060547,1.0213333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,386.0
2959,10000000.0,8.156666666666666,3.3223333333333334,0.16333333333333333,0.0,0.9956666666666667,1,100.0,0.0,2.0,34161.0,2.0,34272.0,388.5
2963,10000000.0,8.44,1.79,0.15333333333333335,0.0,1.0136666666666667,1,100.0,0.0,2.0,34445.0,2.0,34555.0,360.5
2967,10000000.0,8.656666666666666,2.4503333333333335,0.16333333333333333,0.0,1.0406666666666666,1,100.0,0.0,2.0,34410.0,2.0,34520.0,386.3333333333333
2971,10000000.0,8.56,1.7443333333333333,0.15186666666666665,0.8033333619435629,1.028,1,100.0,0.0,2.0,34315.0,2.0,34416.0,342.6666666666667
2975,10000000.0,8.326666666666668,2.094333333333333,0.1409,2.4100000858306885,0.999,1,100.0,0.0,2.0,34326.0,2.0,34446.0,361.5
2983,10000000.0,8.284285714285714,2.1351428571428572,0.16085714285714287,2.4100000858306885,1.0004285714285714,1,100.0,0.0,2.0,34374.0,2.0,34485.0,387.5
2995,10000000.0,8.42,1.8877272727272725,0.1545454545454545,6.037272821773183,1.0130000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,387.5
2999,10000000.0,8.41,1.9496666666666667,0.16,6.400000095367432,1.0113333333333332,1,100.0,0.0,2.0,34374.0,2.0,34485.0,389.5
3003,10000000.0,8.406666666666666,3.1923333333333335,0.17666666666666667,2.559999942779541,1.0106666666666666,1,100.0,0.0,2.0,34339.0,2.0,34450.0,383.6666666666667
3011,10000000.0,8.43142857142857,1.8379999999999999,0.16,2.559999942779541,1.012857142857143,1,100.0,0.0,2.0,34385.0,2.0,34485.0,378.0
3015,10000000.0,8.406666666666666,1.9306666666666665,0.14166666666666666,2.559999942779541,1.0113333333333332,1,100.0,0.0,2.0,34374.0,2.0,34485.0,413.0
3019,10000000.0,8.409999999999998,1.844,0.15666666666666665,1.850000023841858,1.0103333333333333,1,100.0,0.0,2.0,34374.0,2.0,34485.0,389.0
3023,10000000.0,8.406666666666666,2.767333333333333,0.15433333333333332,1.850000023841858,1.0113333333333332,1,100.0,0.0,2.0,34338.0,2.0,34446.0,402.5
3027,10000000.0,8.49,2.0486666666666666,0.16666666666666666,1.850000023841858,1.0206666666666668,1,100.0,0.0,2.0,34374.0,2.0,34485.0,366.3333333333333
3031,10000000.0,8.383333333333333,2.0793333333333335,0.15666666666666665,6.28000013033549,1.0056666666666667,1,100.0,0.0,2.0,34126.0,2.0,34242.0,407.6666666666667
3039,10000000.0,8.405714285714286,1.9952857142857146,0.15714285714285717,15.140000343322754,1.0078571428571428,1,100.0,0.0,1.0,34680.0,1.0,34793.0,385.0
3051,10000000.0,8.446363636363637,1.9793636363636367,0.15727272727272726,12.003636706959117,1.0114545454545454,1,100.0,0.0,2.0,34374.0,2.0,34485.0,401.57142857142856
3055,10000000.0,8.416666666666666,1.454,0.16333333333333333,9.390000343322754,1.0146666666666666,1,100.0,0.0,2.0,34338.0,2.0,34446.0,380.5
3059,10000000.0,8.396666666666667,1.5093333333333334,0.15333333333333335,9.390000343322754,1.0103333333333333,1,100.0,0.0,2.0,34374.0,2.0,34485.0,389.0
3063,10000000.0,8.186666666666666,1.7489999999999999,0.15000000000000002,6.079999923706055,0.9993333333333333,1,100.0,0.0,2.0,34303.0,2.0,34416.0,387.6666666666667
3067,10000000.0,8.27,1.8576666666666668,0.15333333333333335,6.079999923706055,1.0016666666666667,1,100.0,0.0,2.0,34374.0,2.0,34485.0,383.0
3071,10000000.0,8.426666666666668,1.8573333333333333,0.16333333333333333,6.079999923706055,1.0133333333333334,1,100.0,0.0,2.0,34339.0,2.0,34446.0,388.0
3075,10000000.0,8.416666666666666,2.2883333333333336,0.17333333333333334,6.079999923706055,1.0,1,100.0,0.0,2.0,34374.0,2.0,34485.0,368.0
3083,10000000.0,8.406666666666666,2.024,0.18333333333333335,11.510000228881836,1.0090000000000001,1,100.0,0.0,2.0,34374.0,2.0,34485.0,369.6666666666667
3091,10000000.0,8.401428571428571,1.423857142857143,0.15128571428571427,10.991428783961705,1.0082857142857142,1,100.0,0.0,2.0,34350.0,2.0,34450.0,390.4
3095,10000000.0,8.42,1.8723333333333334,0.15000000000000002,7.880000114440918,1.0093333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,396.0
3099,10000000.0,8.406666666666666,1.4826666666666666,0.15666666666666665,7.880000114440918,1.0073333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,394.6666666666667
3103,10000000.0,8.416666666666666,1.4833333333333334,0.15666666666666665,7.880000114440918,1.0146666666666666,1,100.0,0.0,2.0,34339.0,2.0,34446.0,383.6666666666667
3111,10000000.0,8.211428571428572,1.6945714285714286,0.16328571428571428,9.388571739196777,0.9949999999999999,1,100.0,0.0,2.0,34409.0,2.0,34520.0,440.0
