,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,transfer,ue_nr,DRB.PacketSuccessRateUlgNBUu,DRB.RlcPacketDropRateDl,DRB.RlcSduTransmittedVolumeDL,DRB.RlcSduTransmittedVolumeUL,DRB.UEThpDl,DRB.UEThpUl,time_latency
523,2024-03-28 11:41:14+00:00,10000000.0,8.41,2.299,0.18333333333333335,0.0,1.01,1,100.0,0.0,2.0,34339.0,2.0,34450.0,323.6666666666667
527,2024-03-28 11:41:18+00:00,10000000.0,8.723333333333334,1.9816666666666667,0.156,0.0,1.04,1,100.0,0.0,2.0,34410.0,2.0,34520.0,341.5
535,2024-03-28 11:41:26+00:00,10000000.0,8.42,1.923,0.1466666666666667,0.0,1.0136666666666665,1,100.0,0.0,2.0,34374.0,2.0,34485.0,394.5
539,2024-03-28 11:41:30+00:00,10000000.0,8.493333333333332,1.862,0.16666666666666666,0.0,1.0233333333333332,1,100.0,0.0,1.0,34337.0,1.0,34450.0,355.5
543,2024-03-28 11:41:34+00:00,10000000.0,8.023333333333333,1.7493333333333334,0.15333333333333332,0.0,0.9636666666666667,1,100.0,0.0,2.0,34445.0,2.0,34554.0,363.5
555,2024-03-28 11:41:46+00:00,10000000.0,8.543333333333335,1.8146666666666667,0.15000000000000002,0.0,1.035,1,100.0,0.0,0.0,34348.0,0.0,34450.0,389.5
559,2024-03-28 11:41:50+00:00,10000000.0,8.966666666666667,2.0193333333333334,0.15,0.0,1.0756666666666665,1,100.0,0.0,2.0,34338.0,2.0,34450.0,227.0
563,2024-03-28 11:41:54+00:00,10000000.0,8.233333333333333,2.119333333333333,0.16666666666666666,2.190000057220459,0.9973333333333333,1,100.0,0.0,2.0,34374.0,2.0,34480.0,427.6666666666667
567,2024-03-28 11:41:58+00:00,10000000.0,8.476666666666667,1.614,0.166,2.190000057220459,1.01,1,100.0,0.0,2.0,34374.0,2.0,34485.0,348.5
571,2024-03-28 11:42:02+00:00,10000000.0,8.386666666666665,1.5756666666666668,0.16333333333333333,2.190000057220459,1.0076666666666667,1,100.0,0.0,2.0,34374.0,2.0,34485.0,380.0
583,2024-03-28 11:42:14+00:00,10000000.0,8.423333333333334,2.111666666666667,0.15666666666666668,0.0,1.0193333333333332,1,100.0,0.0,0.0,34384.0,0.0,34485.0,381.0
591,2024-03-28 11:42:22+00:00,10000000.0,8.403333333333334,1.665,0.15000000000000002,2.5833333333333335,1.0116666666666667,1,100.0,0.0,2.0,34374.0,2.0,34485.0,390.6666666666667
595,2024-03-28 11:42:26+00:00,10000000.0,8.416666666666666,1.648,0.13999999999999999,7.75,1.0136666666666667,1,100.0,0.0,2.0,34268.0,2.0,34376.0,412.5
603,2024-03-28 11:42:34+00:00,10000000.0,8.393333333333333,1.795,0.147,7.75,1.0183333333333333,1,100.0,0.0,0.0,34242.0,0.0,34346.0,429.5
607,2024-03-28 11:42:38+00:00,10000000.0,8.096666666666668,1.2106666666666668,0.16333333333333333,2.5833333333333335,0.9706666666666667,1,100.0,0.0,2.0,34552.0,2.0,34659.0,429.6666666666667
611,2024-03-28 11:42:42+00:00,10000000.0,8.44,2.025,0.15333333333333335,0.0,1.0113333333333332,1,100.0,0.0,2.0,34327.0,2.0,34446.0,379.0
615,2024-03-28 11:42:46+00:00,10000000.0,8.416666666666666,1.5113333333333332,0.15666666666666665,0.0,1.0146666666666666,1,100.0,0.0,2.0,34385.0,2.0,34485.0,396.0
619,2024-03-28 11:42:50+00:00,10000000.0,8.34,1.4613333333333334,0.17333333333333334,0.0,1.0053333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,421.5
627,2024-03-28 11:42:58+00:00,10000000.0,8.33,2.2776666666666667,0.16333333333333336,0.9599999785423279,1.007,1,100.0,0.0,1.0,34337.0,1.0,34446.0,343.5
635,2024-03-28 11:43:06+00:00,10000000.0,8.093333333333334,2.037333333333333,0.16333333333333333,0.9599999785423279,0.9879999999999999,1,100.0,0.0,1.0,34444.0,1.0,34555.0,395.0
643,2024-03-28 11:43:14+00:00,10000000.0,8.450000000000001,2.08,0.18000000000000002,6.340000152587891,1.0116666666666667,1,100.0,0.0,1.0,34337.0,1.0,34446.0,290.5
651,2024-03-28 11:43:22+00:00,10000000.0,8.233333333333334,2.1573333333333333,0.16666666666666666,6.903333346048991,0.9966666666666667,1,100.0,0.0,1.0,34385.0,1.0,34485.0,355.0
655,2024-03-28 11:43:26+00:00,10000000.0,8.43,1.7169999999999999,0.15,8.029999732971191,1.0133333333333334,1,100.0,0.0,2.0,34303.0,2.0,34416.0,371.0
659,2024-03-28 11:43:30+00:00,10000000.0,8.416666666666666,1.7356666666666667,0.139,8.029999732971191,1.0136666666666667,1,100.0,0.0,2.0,34410.0,2.0,34515.0,417.6666666666667
667,2024-03-28 11:43:38+00:00,10000000.0,8.403333333333334,1.745,0.16666666666666666,3.369999885559082,1.0,1,100.0,0.0,1.0,34373.0,1.0,34485.0,423.0
671,2024-03-28 11:43:42+00:00,10000000.0,8.406666666666666,1.6956666666666667,0.16,1.0399999618530273,1.0113333333333332,1,100.0,0.0,1.0,34337.0,1.0,34450.0,408.0
675,2024-03-28 11:43:46+00:00,10000000.0,8.41,2.220666666666667,0.1466666666666667,1.0399999618530273,1.0126666666666666,1,100.0,0.0,2.0,34338.0,2.0,34446.0,396.0
679,2024-03-28 11:43:50+00:00,10000000.0,8.413333333333334,1.6473333333333333,0.17666666666666667,1.0399999618530273,1.0113333333333332,1,100.0,0.0,2.0,34374.0,2.0,34485.0,348.6666666666667
683,2024-03-28 11:43:54+00:00,10000000.0,8.31,2.1226666666666665,0.16,0.6600000262260437,1.006,1,100.0,0.0,2.0,34374.0,2.0,34485.0,409.5
687,2024-03-28 11:43:58+00:00,10000000.0,8.373333333333333,2.3573333333333335,0.16,0.6600000262260437,1.0073333333333332,1,100.0,0.0,2.0,34374.0,2.0,34485.0,374.0
691,2024-03-28 11:44:02+00:00,10000000.0,8.386666666666668,1.7533333333333332,0.13166666666666668,0.6600000262260437,1.0183333333333333,1,100.0,0.0,2.0,34338.0,2.0,34446.0,394.6666666666667
695,2024-03-28 11:44:06+00:00,10000000.0,8.696666666666667,1.67,0.15666666666666665,0.6600000262260437,1.0453333333333334,1,100.0,0.0,2.0,34374.0,2.0,34485.0,382.6666666666667
699,2024-03-28 11:44:10+00:00,10000000.0,8.406666666666666,2.4483333333333333,0.18000000000000002,11.050000190734863,1.008,1,100.0,0.0,2.0,34315.0,2.0,34416.0,411.0
703,2024-03-28 11:44:14+00:00,10000000.0,8.41,1.7643333333333333,0.16,11.050000190734863,1.0186666666666666,1,100.0,0.0,2.0,34374.0,2.0,34485.0,417.0
711,2024-03-28 11:44:22+00:00,10000000.0,8.406666666666666,1.6213333333333333,0.16,10.413333574930826,1.0033333333333332,1,100.0,0.0,0.0,34372.0,0.0,34485.0,368.0
715,2024-03-28 11:44:26+00:00,10000000.0,8.383333333333333,2.374333333333333,0.15666666666666665,9.140000343322754,1.017,1,100.0,0.0,2.0,34339.0,2.0,34450.0,312.0
