,_time,bandwidth_required,bitrate,jitter,lost_percentage,path_loss,test_number,transfer,ue_nr
215,2024-04-17 14:44:08+00:00,10M,3.42,6.545,0.74,10.0,3,0.417,2
216,2024-04-17 14:44:09+00:00,10M,3.15,3.397,0.62,10.0,3,0.385,2
217,2024-04-17 14:44:10+00:00,10M,2.5,11.322,0.66,10.0,3,0.305,2
218,2024-04-17 14:44:11+00:00,10M,1.59,7.634,0.76,10.0,3,0.194,2
219,2024-04-17 14:44:12+00:00,10M,2.85,11.835,0.81,10.0,3,0.348,2
220,2024-04-17 14:44:13+00:00,10M,2.2,2.621,0.71,10.0,3,0.269,2
221,2024-04-17 14:44:14+00:00,10M,2.66,3.636,0.78,10.0,3,0.325,2
222,2024-04-17 14:44:15+00:00,10M,2.75,3.751,0.73,10.0,3,0.335,2
223,2024-04-17 14:44:16+00:00,10M,1.64,4.248,0.68,10.0,3,0.201,2
224,2024-04-17 14:44:17+00:00,10M,2.24,6.8,0.81,10.0,3,0.273,2
225,2024-04-17 14:44:18+00:00,10M,2.17,7.011,0.81,10.0,3,0.264,2
226,2024-04-17 14:44:19+00:00,10M,1.96,6.673,0.74,10.0,3,0.239,2
227,2024-04-17 14:44:20+00:00,10M,1.83,4.193,0.79,10.0,3,0.223,2
228,2024-04-17 14:44:21+00:00,10M,2.77,6.989,0.83,10.0,3,0.338,2
229,2024-04-17 14:44:22+00:00,10M,1.66,12.614,0.74,10.0,3,0.202,2
230,2024-04-17 14:44:23+00:00,10M,2.03,3.222,0.71,10.0,3,0.247,2
231,2024-04-17 14:44:24+00:00,10M,2.57,2.206,0.83,10.0,3,0.314,2
232,2024-04-17 14:44:25+00:00,10M,1.71,4.752,0.76,10.0,3,0.209,2
233,2024-04-17 14:44:26+00:00,10M,1.93,9.54,0.76,10.0,3,0.236,2
234,2024-04-17 14:44:27+00:00,10M,1.76,3.089,0.81,10.0,3,0.215,2
235,2024-04-17 14:44:28+00:00,10M,1.89,8.974,0.85,10.0,3,0.23,2
236,2024-04-17 14:44:29+00:00,10M,1.38,5.839,0.76,10.0,3,0.168,2
237,2024-04-17 14:44:30+00:00,10M,1.09,5.953,0.83,10.0,3,0.133,2
238,2024-04-17 14:44:31+00:00,10M,2.4,12.123,0.88,10.0,3,0.293,2
239,2024-04-17 14:44:32+00:00,10M,1.99,8.006,0.77,10.0,3,0.243,2
240,2024-04-17 14:44:33+00:00,10M,1.29,8.237,0.78,10.0,3,0.157,2
241,2024-04-17 14:44:34+00:00,10M,1.39,5.07,0.79,10.0,3,0.17,2
242,2024-04-17 14:44:35+00:00,10M,2.34,14.116,0.87,10.0,3,0.286,2
243,2024-04-17 14:44:36+00:00,10M,1.54,4.155,0.74,10.0,3,0.188,2
244,2024-04-17 14:44:37+00:00,10M,2.13,8.575,0.82,10.0,3,0.262,2
245,2024-04-17 14:44:38+00:00,10M,1.59,4.063,0.82,10.0,3,0.192,2
246,2024-04-17 14:44:39+00:00,10M,1.58,9.417,0.81,10.0,3,0.192,2
247,2024-04-17 14:44:40+00:00,10M,1.63,7.536,0.84,10.0,3,0.201,2
248,2024-04-17 14:44:41+00:00,10M,2.08,5.666,0.86,10.0,3,0.252,2
249,2024-04-17 14:44:42+00:00,10M,1.66,3.855,0.72,10.0,3,0.202,2
250,2024-04-17 14:44:43+00:00,10M,2.22,3.361,0.85,10.0,3,0.272,2
251,2024-04-17 14:44:44+00:00,10M,1.15,6.017,0.71,10.0,3,0.14,2
252,2024-04-17 14:44:45+00:00,10M,2.1,10.692,0.83,10.0,3,0.256,2
253,2024-04-17 14:44:46+00:00,10M,1.42,5.128,0.83,10.0,3,0.174,2
254,2024-04-17 14:44:47+00:00,10M,1.45,6.752,0.74,10.0,3,0.177,2
255,2024-04-17 14:44:48+00:00,10M,1.52,5.909,0.86,10.0,3,0.185,2
256,2024-04-17 14:44:49+00:00,10M,1.25,7.737,0.87,10.0,3,0.153,2
257,2024-04-17 14:44:50+00:00,10M,1.42,9.653,0.86,10.0,3,0.174,2
258,2024-04-17 14:44:51+00:00,10M,2.2,18.631,0.86,10.0,3,0.269,2
259,2024-04-17 14:44:52+00:00,10M,2.49,4.694,0.8,10.0,3,0.304,2
260,2024-04-17 14:44:53+00:00,10M,1.55,3.979,0.74,10.0,3,0.189,2
261,2024-04-17 14:44:54+00:00,10M,2.16,7.648,0.83,10.0,3,0.264,2
262,2024-04-17 14:44:55+00:00,10M,1.77,11.815,0.8,10.0,3,0.216,2
263,2024-04-17 14:44:56+00:00,10M,2.58,6.149,0.79,10.0,3,0.315,2
