,_time,CARR.WBCQIDist,DRB.AirIfDelayUl/s,DRB.PdcpSduVolumeUL_Filter,DRB.RlcDelayUl,DRB.UEThpUl,RRC.ConnEstabSucc,RRC.ConnMean,RRU.PrbAvailUl,RRU.PrbTotUl,SM.PDUSessionSetupFail,SM.PDUSessionSetupReq,TB.ErrTotalNbrUl,TB.TotNbrUl,session
3537,2024-03-28 13:33:12+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
3538,2024-03-28 13:33:13+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3539,2024-03-28 13:33:14+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3540,2024-03-28 13:33:15+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3541,2024-03-28 13:33:16+00:00,27300,114,20,0,1000,100,0,0,0,0,0,100,0,117
3542,2024-03-28 13:33:17+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3543,2024-03-28 13:33:18+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3544,2024-03-28 13:33:19+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3545,2024-03-28 13:33:20+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3546,2024-03-28 13:33:21+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3547,2024-03-28 13:33:22+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3548,2024-03-28 13:33:23+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3549,2024-03-28 13:33:24+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3550,2024-03-28 13:33:25+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3551,2024-03-28 13:33:26+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
3552,2024-03-28 13:33:27+00:00,27300,110,20,0,900,100,0,0,0,0,0,100,0,117
3553,2024-03-28 13:33:28+00:00,27300,110,20,0,1000,100,0,0,0,0,0,100,0,117
